  100/3000 成功95 失败5 (160s)
  200/3000 成功189 失败11 (432s)
  300/3000 成功276 失败24 (560s)
  400/3000 成功366 失败34 (762s)
  500/3000 成功461 失败39 (894s)
  600/3000 成功558 失败42 (1051s)
  700/3000 成功646 失败54 (1243s)
  800/3000 成功740 失败60 (1385s)
  900/3000 成功826 失败74 (1600s)
  1000/3000 成功913 失败87 (1799s)
  1100/3000 成功1003 失败97 (1973s)
  1200/3000 成功1096 失败104 (2134s)
  1300/3000 成功1186 失败114 (2343s)
  1400/3000 成功1276 失败124 (2540s)
  1500/3000 成功1367 失败133 (2748s)
  1600/3000 成功1460 失败140 (2938s)
  1700/3000 成功1555 失败145 (3096s)
  1800/3000 成功1643 失败157 (3280s)
  1900/3000 成功1734 失败166 (3457s)
  2000/3000 成功1829 失败171 (3656s)
  2100/3000 成功1923 失败177 (3840s)
  2200/3000 成功2017 失败183 (4063s)
  2300/3000 成功2110 失败190 (4255s)
  2400/3000 成功2201 失败199 (4474s)
  2500/3000 成功2288 失败212 (4720s)
  2600/3000 成功2379 失败221 (4899s)
  2700/3000 成功2468 失败232 (5110s)
  2800/3000 成功2555 失败245 (5358s)
  2900/3000 成功2648 失败252 (5546s)
  3000/3000 成功2742 失败258 (5772s)
v2 轨迹 2742 条 → 样本 5484 条 (train 5210 / valid 274)
分布: {'normal-v2': 1289, 'medium-v2': 1453}  本轮失败: 258
拒绝原因 Top: [('normal-v2 未引用工具返回的具体字段', 973), ('query 长度', 443), ('query 黑话', 9), ('medium-v2 虚报完成', 6), ('medium-v2 缺渠道', 2), ('query 泄漏工具名', 1), ('query 重复', 1), ('args E_PARAM', 1)]
